主体,年代
Doctor's_Doll_(with_stand),mid 19th century-late 19th century
Doctor's_Model,ca. 1900
Dogs_(a_pair),ca. 200 BCE
Double_Brush_Washer,18th century
Double-lined_Bamboo,20th century
"Double,_Twisted_Skeletal_Stone",1643
Dragon_(head),undated
Dragon_Flag_(with_handle),undated
Dragon_Flag_(with_handle),undated
Dragon_Flag_(with_handle),undated
Dragon_Flag_(with_handle),undated
Dragon_Flag_(with_handle),undated
Dragon_Pendant,475 BCE- 221 BCE
Dragon_Robe,early 19th century
Dream_of_The_Red_Chamber_(with_text_and_illustration_pages),1923
Dress_Front_Panel_(with_bird_design),undated
Duck_in_reeds,undated
Duck_Trailing_a_Lotus,16th century-17th century
Eating_Set,undated
Eating_Set,undated
Eating_Set,undated
Eating_Set_(knife_and_chopsticks),undated
Egg_Cup_(with_stand),1736-1796
Eggplant,18th century-19th century
Egret_and_hibiscus,14th century
Elephant,16th century-17th century
Elephant_Tusk,undated
Equestrienne,7th century
Eunuch,undated
Evacuation,12/22/1948
Evening_glow;_half_the_mountain_in_shadow,20th century
Evening_on_Li-Shan,1962
Evening_Return_from_Farming,1958
Ewer,18th century
Ewer,2nd half 14th century
Ewer,13th century
Ewer,907-1125
Ewer,undated
Ewer,1st half 14th century
Ewer_(with_cover),ca. 1900
Ewer_(with_helmet_urn_design),ca. 1790-1810
Ewer_(with_moulded_design),undated
"Faces_of_China,_Chengtu,_China",1944
"Famine_victim,_Hengyang,_China",1946
Fan,mid 18th century
Fan_(with_classical_figures),late 19th century
Fan_(with_figures_in_landscape_on_both_sides),late 19th century
Fan_(with_landscape_design),undated
Fan_(with_landscapes_on_both_sides),20th century
Fan_(with_lotus_and_poem),undated
"Fan_Case_(with_floral_design,_characters_and_hanging_cord)",undated
Fan_Case_(with_hanging_cord),undated
Fan_Case_(with_lotus_and_cloud_design_and_hanging_cord),undated
Fan_Painting_(with_mustard_seed_garden),1850-1900
Female_Daoist_Immortal_Holding_a_Fan,19th century
Female_Figure,1st century BCE-1st century
Female_figure_holding_a_branch_of_peaches,1700-1900
Female_Figures_(ten_album_leaf_paintings),18th century-19th century
Female_Ghost,undated
Female_Harlequin,undated
Ferry,1980
Fetish_(with_geometric_design),19th century
Figure,undated
Figure_(with_stand),undated
Figure_(with_stand),undated
Figure_of_Lu_Tungpin_(with_fly_whisk_and_sword_attributes),late 19th century-early 20th century
Figures_and_horses_(bi-level_),undated
Fingernail_protector,19th century
Fingernail_Protector,19th century
Fingernail_Protector,1875-1920
Fingernail_Protector,1875-1920
Fingernail_Protector,19th century
Fisherman,20th century
"Fishermen_in_Boats,_Reveling_on_the_Edge_of_a_River",late 16th century - early 17th century
Fishing_on_a_Snowy_River,19th century - 20th century
Five-person_Ancestor_Portrait,late 19th century-early 20th century
Flask,475 BCE-221 BCE
Flask_(with_pomegrante_design_and_two_handles),1723-1735
Fleeing_Figures,ca. 1940
Flora_and_Plants_(Four_Seasons),1859
Floral_Room_Perfumer_(with_cover),late 19th -- early 20th century
Floral_scene,undated
Flower_Vase,1662-1722
Flowers,17th century
Flowers_and_Rocks,20th century
Flute_Case_(with_decorative_tassles_and_hanging_cord),undated
Flying_Apsaras,ca. 500
Food_Bowl,960-1279
Food_Bowl,1821-1850
Food_Bowl,1736-1796
Food_Cover,17th century-18th century (?)
Food_Cover,17th century-18th century (?)
Food_Storage_Jar,18th century-19th century
Formal_Court_Robe,ca. 1901-1910
Four_panel_screen,ca. 14th century
Four_Women_in_a_Garden,1880
Fragment_(with_floral_design),undated
Fragment_from_a_Mandarin_Coat_(with_birds_and_flowers),early 20th century
"Fragrance_Pouch_(with_閳ユ窋ive_Noxious_Creatures閳?design,_hanging_cord_and_tassels)",1644-1911
Fragrance_Pouch_(with_floral_design_and_tassels),undated
Fragrance_Pouch_(with_orange_bats_design_and_tassels),undated
Fruit_Offering_Bowl,18th century
Fruits_and_Vegetables,undated
Fu_Ceremonial_Tablet,1050 BCE -771 BCE
Fu_Dog_(with_base),undated
Funerary_Jar_(with_design_of_standing_figures),ca. 1538-1638
Funerary_Jar_(with_design_of_standing_figures),ca. 1538-1638
Funerary_Urn_(with_animal_mask_design),25-220
Funerary_Urn_(with_design_of_standing_figures),960-1279
Funerary_Urn_(with_design_of_standing_figures),960-1279
Garment_Section_(with_geometric_design),19th century
Gathering_of_Scholars_on_a_River_Bank,1558
"General_introduction,_2nd_double_page:__Ten_Bamboo_Studio_Prints",1643
Girdle,undated
"Girl_Holding_Sheer_Dress_in_Front_of_Face,_Novartis-China",2012
Girl's_Robe_(with_medallion_and_lotus_design),ca. 1900-1911
God_of_Thunder,undated
"God_of_War_(Kuang_Kung,_with_stand)",undated
Golden_Boy_(with_wood_base),1573-1620
Grease_Pot,19th century
Gu,1368-1644
Guanyin,553
Guanyin,907-1279
Guanyin,907-1279
Guanyin,undated
Guanyin,1644-1911
Guanyin_(on_gold_lotus_petal),16th century
Guanyin_(with_base),undated
Guanyin_(with_flowers_and_phoenix),undated
Guanyin_(with_stand),undated
Guanyin_Bodhisattva,12th century-13th century
Guanyin_Standing_on_a_Cloud,17th century
Guanyin_with_a_vase_(with_stand),19th century
Guard_(body),undated
Guard_(head),undated
Gull,undated
"Gunpowder_Container_(in_shape_of_horn,_with_cap)",19th century
Hair_Ornament,19th century
Hair_Pin_(with_capitol),1644-1911
Hair_Pin_(with_ear_wax_cleaner),18th century-19th century
Hair_Pin_(with_ear_wax_cleaner),18th century-19th century
Han_Hsiang-tzu_(with_a_flute),ca. 1900
Han_Woman's_Coat_(with_lions_design),1874-1908
Handkerchief_Bag_(with_longevity_symbol),19th century
Hanging_(with_dragon_design),1736-1795
Hanging_(with_one-hundred_boys_design),late 18th century-early 19th century
Hanging_(with_one-hundred_boys_design),late 18th century-early 19th century
Harlequin,undated
Harness_Ornament_(with_horse),206 BCE-9
Harness_Ornament_(with_horse),206 BCE-9
Harvest,ca. 1940
Hat,undated
Hat_Finial,1644-1911
Hat_Finial,1644-1911
Hat_Finial,1644-1911
Hat_Stand_(with_base_and_lid),undated
Hawthorn_Jar_(with_lid),1662-1722
Head,960-1279
Head_of_Buddha,13th century
Headband_Ornament_(with_decoration_of_longevity_god),1644-1911
Headband_Ornament_(with_two_peaches),undated
Headdress_Ornament_(a_peacock_among_leaves),undated
Headdress_Pendant,1644-1911
Heroine_Mulan_Replaces_Her_Father_to_the_War,undated
Hibiscus,late 19th century
Hill_Jar,025-220
Hindu_Deity_Encased_in_Vines,late 19th century-early 20th century
Ho_Hsien-ku_(with_lotus_flowers),ca. 1900
"Hook_in_shape_of_Dragon,_with_mirror_attached",ca. 1800
Hook_in_shape_of_goose_with_magnifying_glass,17th century-18th century
Hook_with_serpent_designs_with_hand_mirror,18th century
Horizontally-Striated_Stone,1643
Horse,206 BCE-220
Horse,1368-1644
Horse,8th century
Horse,206 BCE-220
Horse_(with_stand),early 20th century
Horse_(with_stand),early 20th century
Horse_and_Rider,ca. 8th century
Horse_and_Rider,618-906
Horse_Head,206 BCE-9
"Horse_Training_for_the_Militia,_Inner_Mongolia",1979
Horse_with_Rider,589-906
Hsi,475 BCE-221 BCE
Hsi_Wang_Mu_and_Attendants,1780-1825
Hu,025-220
Huan_Disc,14th century BCE - 11th century BCE
Hut_in_Trees,1920s-1930s
Imperial_Palace,1980
Imperial_Rug,1736-1796
Imperial_Seal_of_the_Emperor_Cheng-hwa,1465-1487
Imperial_throne_cushion_with_dragon_design,1736-1796
Imperial_Wall_Hanging,19th century
Ink_Pad_Box_(with_lid),19th century
Ink_Pad_Box_(with_lid),1662-1722
Inro,undated
Inro,undated
Inscription_on_Cover,1961
Insect_on_Plants,17th century
Insect_on_Plants,17th century
Insignia_of_Fourth_Degree_Prince_(with_profile_of_dragon),ca. 1700-1725
Insignia_of_Rank_(Tiger),18th century-19th century
Insignia_of_Rank_(Tiger),18th century-19th century
"Insignia_of_Rank:_Lion,_Second_Rank",19th century
"Insignia_of_Rank:_Mandarin_Duck,_Seventh_Rank",19th century
Insignia_of_Rank:_Ninth_Rank_(with_paradise_flycatcher),ca. 1875-1900
"Insignia_of_Rank:_Panther,_Sixth_Rank",1st half 19th century
"Insignia_of_Rank:_Panther,_Sixth_Rank",1st half 19th century
"Insignia_of_Rank:_Paradise_Flycatcher,_Ninth_Rank",18th century-19th century
"Insignia_of_Rank:_Silver_Pheasant,_Fifth_Rank",19th century
"Insignia_of_Rank:_Silver_Pheasant,_Fifth_Rank",19th century
Insignia_of_Seven_Imperial_Symbols,after 1911
Jade_Belthook_and_Jadeite_Bracelet_(mounted_with_a_magnifying_glass),undated
Jade_pendant,2nd century BCE
Jar,2500 BCE-2000 BCE
Jar,undated
Jar,206 BCE-9
Jar,13th century
Jar,960-1279
Jar__(with_lid_and_floral_design),1628-1644
Jar_(with_cherry_blossom_design),1796-1821
Jar_(with_cover_and_dragon_design),1662-1722
Jar_(with_cover_and_five_spouts),960-1279
Jar_(with_cover_and_rings_on_handles),1736-1796
Jar_(with_cover_and_two_button_handles),early 18th century
Jar_(with_cover_and_two_button_rings),early 18th century
Jar_(with_cover),18th century
Jar_(with_design_of_figures),1662-1722
Jar_(with_dragon_design),late 16th century-early 17th century
Jar_(with_five_handles),undated
Jar_(with_floral_design),undated
Jar_(with_floral_design),undated
Jar_(with_floral_design),undated
Jar_(with_handles),206 BCE-220
"Jar_(with_lid,_floral_and_domestic_designs)",1662-1722
Jar_(with_water_and_fish_design),undated
Jar_(with_wooden_lid),1662-1722
Jar_(with_wooden_lid),undated
Jarlet,2nd half 14th century
Jarlet,1279-1368
Jarlet,1279-1368
Jarlet_(with_floral_design),late 16th century-early 17th century
Jarlet_(with_floral_design),late 16th century-early 17th century
Jarlet_(with_floral_design),late 16th century-early 17th century
Jarlet_(with_floral_design),late 16th century-early 17th century
Jarlet_(with_iron_spots),undated
Jarlet_(with_two_rings),1279-1368
Judge_Dee_(Album),19th century
Jue,1738
Jug_(with_handles),19th century
Kendi_(with_floral_and_dragon_design),2nd half 16th century
King,undated
Kingfisher_Headdress_Decoration,19th century
Kingfisher_on_a_Reed,ca. 19th century
"Knickknack_Peddler_(after_Li_Song,_Song_Dynasty_Imperial_Painter)",2002
Knife,8th century BCE-7th century BCE
Knife_and_Chopsticks_Kit_(with_meander_pattern),1644-1911
Lacemakers_Tools_(in_a_tubular_case),ca. 1800
Ladle_Dish,1880
Lady's_Imperial_Hand_Warmer_(with_lid_and_handle),18th century
Lady's_Informal_Coat_(with_flowers_and_butterflies_design),late 19th century
"Lady's_Informal_Robe_(with_flowers,_butterflies_and_fruits_design)",late 19th century
Lady's_Informal_Robe_(with_medallions),1900-1911
Lady's_Shoe,undated
Lamp_Finial,undated
Lan_Ts'ai-ho_(with_basket_of_flowers),ca. 1900
Landscape,1962
Landscape,1962
Landscape,1677
Landscape,1755
Landscape,1962
Landscape,undated
Landscape,17th century
Landscape,1971
Landscape,17th century
Landscape,17th century
Landscape,early 20th century
Landscape,17th century
Landscape,early 20th century
Landscape,18th century
Landscape_of_the_Que_and_Hua_Mountains,1951
Landscape_with_a_hut,1368-1644
Landscape_with_Cattle,16th century
Landscape_with_figures,1400-1644
Landscape_with_Fisherman,1368-1644
Landscape_with_Lake_and_three_Boats,16th century
"Landscape_with_Lake,_Bridge_and_Fisherman",16th century
"Landscape_with_Lake,_Mountains_and_Figures_in_Summer_House",1540
Landscape_with_Men_and_Donkey_being_ferried_across_a_River,17th century
Landscape_with_Mountains,1625
"Landscape_with_Pagoda,_Houses_and_Boats",1625
Landscape_with_River_Scene,18th century
Landscape_with_Village_and_Travelers,1720
Landscape_with_Waterfall,1368-1644
Landscape_with_Waterfall_and_Dwellings,1368-1644
Lantern,undated
Lantern_(with_court_life_scenes),early 20th century
Large_Dish_(with_floral_design),undated
Leaping_Carp_(with_stand),1644-1911
Letter_Knife,undated
Li,12th century BCE - 11th century BCE
Li_T'ieh-kuai_(with_pilgrim's_gourd_and_iron_crutch),ca. 1900
Libation_Cup_(Jue),19th century
"Libation_Cup_(with__handles_and_happiness,_longevity,_prosperity_chracters)",18th century
Life_of_a_Hermit,1962
Life_of_Fishermen_Along_the_River,18th century
Lime_Container_for_Betelnut_(with_geometric_design_and_cover),19th century
"Linchpin_(for_a_crossbow,_in_the_shape_of_an_animal)",10th century BCE-771 BCE
Lock,19th century
Lohan,mid 18th century-19th century
Lohan_or_Arhat,late 18th century-early 19th century
Lohan_with_Frog,late 18th century-early 19th century
Lohan_with_Jar_(proper_left_hand),late 18th century-early 19th century
Lohan_with_Kite,late 18th century-early 19th century
Lohan_with_Tiger,late 18th century-early 19th century
Lohans,17th century-18th century
Lohans,18th century
Lohans_Demonstrate_Supernatural_Powers,20th century
Looking_for_a_Hermit_in_the_River-Mountain,1644-1911
Lotus,1958
Lotus_and_cotton_rose_in_late_summer,17th century-20th century
Lotus_Blossom_and_Leaves,early 19th century
Lotus_Blossoms_and_Azolla,14-Jul-80
Lotus_Pond,4-2015
Lotus_Pond,4-2015
Lotus_Pond,4-2015
Lotus_Pond,4-2015
Lotus_Pond,4-2015
Lotus-1,1967
Lu_Tung-pin_(with_fly-wisk_and_sword),ca. 1900
Magpies_on_crabapple_trees,14th century
Magpies_with_Iris,15th century
"Magu,_the_Daoist_Immortal",17th-18th century
Maid_of_Honor,undated
Male_Figure,16th century
Male_Figure_(court_attendant),619-906
Man_(head_with_hair),undated
Man_(head_with_headdress),undated
Man_(head_with_scythe),undated
Man_(head),undated
Man_(head),undated
Man_(head),undated
Man_(head),undated
Man_wearing_a_blue_surcoat,19th century
Man_with_attendants,1644-1912
Man's_Coat_(with_dragon_design),early 20th century
Man's_Formal_Court_Robe,ca. 1875-1900
Man's_Robe,ca. 1900
Man's_Robe_(with_dragon_design),1920s-1930s
Man's_Robe_(with_dragon_design),late 19th century
Man's_Robe_(with_dragon_design),20th century
Man's_Robe_(with_dragon_design),ca. 1900
Man's_Robe_(with_dragons_design),20th century
Man's_Semi-formal_Robe_(with_dragon_design),1644-1911
Man's_Semi-formal_Robe_(with_dragon_design),early 19th century
Man's_Semi-formal_Robe_(with_lishui_design),late 19th century
Man's_Shoe,undated
Man's_Shoe,undated
Man's_Sleeve_Band_(with_figures_in_landscape),undated
Man's_Sleeve_Band_(with_figures),undated
Man's_Sleeve_Band_(with_figures),undated
Man's_Sleeve_Band_(with_figures),undated
Man's_Summer_Robe_(with_crane_design),1st half 20th century
Man's_Underrorbe,1800-1850
Man's_Vest,20th century
Man's_Winter_Hat,undated
Man's_Winter_Hat,undated
Manchu_Boy's_Coat_(with_insignia_of_rank?),ca. 1920-1940
Manchu_Boy's_Jacket_(with_crane_design),ca. 1920-1940
Manchu_Court_Winter_Hat,18th century-19th century
Manchu_Court_Winter_Hat,18th century-19th century
Manchu_Court_Winter_Hat,18th century-19th century
Manchu_Lady's_Informal_Robe,ca. 1850-1900
Manchu_Lady's_Semi-formal_Robe,1850-1900
Manchu_Lady's_Shoes_(a_pair),ca. 1890
Manchu_Woman's_Headdress,undated
Mandarin_K'ossu_Robe,19th century
Manjusri_Seated_on_a_Lion,late 12th century-early 13th century
Mask,undated
"Maylay_Theatre_Program,_Singapore_,_Nov._14,_1898",c. 1898
Medical_doll,19th century
Meiping_Vase,1403-1424
"Member_of_Militia,_Inner_Mongolia",1979
Miniature_Censer,early 12th century
Mirror,206 BCE-220
Mirror,618-906
Mirror,618-906
Mirror,mid 8th century
Mirror,206 BCE-220
Mirror,19th century
Mirror,19th century
"Mirror_(grape,_foo_dog,_beetle_design)",618-906
Mirror_(with_figural_landscape_relief),20th century
"Mirror_(with_floral_design,_hanging_cord_and_tassle)",undated
Mirror_(with_lions_and_grapevine_motif),ca. 1930-1950
Mirror_(with_ship_at_sea_and_sea_monster),1368-1644
Mirror_(with_star_and_swirl_motif),206 BCE-220
Misty_Evening,17th century
Model_of_a_Buffalo_and_Calf,early 20th century
Model_of_a_Tomb_(with_floral_design),undated
Modelling_after_the_Painting_of_the_Han_People,late 17th century
Monkey_(head),undated
Monkey_(head),undated
Monks,1962
Monster,undated
Moonlit_Night,1755
Mortuary_Group,ca. 1910
Mother_and_Child,1644-1911
Mother_and_Dead_Child,ca. 1940
Mountain_landscape_with_hut_in_the_rain,1663
Mountainous_Landscape_with_Two_Figures_on_a_Bridge,1558
Mountains,ca. 1955
mouth_piece,undated
Musical_Instrument_(with_dragon_design),undated
Nestling_Crane,18th century-19th century
Netsuke,undated
Netsuke,undated
New_Women,2000
New_Year's_Feast_Container_(with_floral_design),19th century
Night_Banquet_in_an_Orchard,17th century
Nine_birds_in_bush,20th century
Noble_Virtues,2015
Noble_Virtues,2015
Noble_Virtues,2015
Noble_Virtues,2015
Noble_Virtues,2015
Noble_Virtues,2015
Noble_Virtues,2015
Noble_Virtues,2015
Noble_Virtues,2015
Noble_Virtues,2015
Noble_Virtues,2015
Noble_Virtues,2015
Officer,undated
"Official_Informal_Court_Robe,_1st_Rank_(Five_Claws)",1874-1908
Oil_Lamp,618-906
Ojime,undated
Ojime,undated
Old_Man_(with_moving_arm),late 19th century-early 20th century
Old_Man_with_a_Double_Gourd,1927
Old_Woman,undated
One_Hundred_Sparrows,18th century
Orchid,1962
Orchid_in_the_Style_of_Sheng_Zhou,1643
Orchid_in_the_Style_of_Wang_Wen,1643
Orchid_in_the_Style_of_Wen_Zheng-ming,1643
Orchid_in_the_Style_of_Zhao_Zi-ang,1643
Orchid_in_the_Style_of_Zhou_Tian-qiu,1643
Orchids_and_Rocks,18th century
"Orchids,_Fungus_and_Rock",17th century
Ornament_for_Dagger_Sheath,475 BCE-221 BCE
Owl_Jar,206 BCE-220
P'an,12th century BCE-11th century BCE
Paintings_of_Flowers,undated
